FisheryNum	FisheryName	FisheryNameLong	Year	StockGroup	Catch	PropinCatch
1	AlaskaT	'Alaska Troll'	1987	'CR-tule'	4087	0.01769
1	AlaskaT	'Alaska Troll'	1987	'ORCST'	54782	0.23710
1	AlaskaT	'Alaska Troll'	1988	'SEAK'	6875	0.03167
1	AlaskaT	'Alaska Troll'	1988	'NCBC'	24741	0.11397
1	AlaskaT	'Alaska Troll'	1988	'WCVI'	28648	0.13196
1	AlaskaT	'Alaska Troll'	1988	'GS'	8255	0.03803
1	AlaskaT	'Alaska Troll'	1988	'FR-early'	6995	0.03222
1	AlaskaT	'Alaska Troll'	1988	'FR-late'	152	0.00070
1	AlaskaT	'Alaska Troll'	1988	'PSD'	1018	0.00469
1	AlaskaT	'Alaska Troll'	1988	'WACST'	11960	0.05509
1	AlaskaT	'Alaska Troll'	1988	'CR-bright'	71411	0.32895
1	AlaskaT	'Alaska Troll'	1988	'CR-sp&su'	9540	0.04394
1	AlaskaT	'Alaska Troll'	1988	'CR-tule'	12862	0.05925
1	AlaskaT	'Alaska Troll'	1988	'ORCST'	34630	0.15952
1	AlaskaT	'Alaska Troll'	1989	'SEAK'	6483	0.02892
1	AlaskaT	'Alaska Troll'	1989	'NCBC'	34937	0.15584
1	AlaskaT	'Alaska Troll'	1989	'WCVI'	41228	0.18390
1	AlaskaT	'Alaska Troll'	1989	'GS'	7707	0.03438
1	AlaskaT	'Alaska Troll'	1989	'FR-early'	6561	0.02927
1	AlaskaT	'Alaska Troll'	1989	'FR-late'	71	0.00032
1	AlaskaT	'Alaska Troll'	1989	'PSD'	1206	0.00538
1	AlaskaT	'Alaska Troll'	1989	'WACST'	15595	0.06956
1	AlaskaT	'Alaska Troll'	1989	'CR-bright'	61509	0.27437
1	AlaskaT	'Alaska Troll'	1989	'CR-sp&su'	10666	0.04758
1	AlaskaT	'Alaska Troll'	1989	'CR-tule'	6541	0.02918
1	AlaskaT	'Alaska Troll'	1989	'ORCST'	31679	0.14131
1	AlaskaT	'Alaska Troll'	1990	'SEAK'	4472	0.01697
1	AlaskaT	'Alaska Troll'	1990	'NCBC'	37518	0.14237
1	AlaskaT	'Alaska Troll'	1990	'WCVI'	75847	0.28781
1	AlaskaT	'Alaska Troll'	1990	'GS'	7951	0.03017
1	AlaskaT	'Alaska Troll'	1990	'FR-early'	8196	0.03110
1	AlaskaT	'Alaska Troll'	1990	'FR-late'	591	0.00224
1	AlaskaT	'Alaska Troll'	1990	'PSD'	1302	0.00494
1	AlaskaT	'Alaska Troll'	1990	'WACST'	17812	0.06759
1	AlaskaT	'Alaska Troll'	1990	'CR-bright'	47888	0.18172
1	AlaskaT	'Alaska Troll'	1990	'CR-sp&su'	13458	0.05107
1	AlaskaT	'Alaska Troll'	1990	'CR-tule'	3582	0.01359
1	AlaskaT	'Alaska Troll'	1990	'ORCST'	44911	0.17042
1	AlaskaT	'Alaska Troll'	1991	'SEAK'	4712	0.02033
1	AlaskaT	'Alaska Troll'	1991	'NCBC'	39196	0.16909
1	AlaskaT	'Alaska Troll'	1991	'WCVI'	94025	0.40562
1	AlaskaT	'Alaska Troll'	1991	'GS'	7091	0.03059
1	AlaskaT	'Alaska Troll'	1991	'FR-early'	5829	0.02515
1	AlaskaT	'Alaska Troll'	1991	'FR-late'	95	0.00041
1	AlaskaT	'Alaska Troll'	1991	'PSD'	838	0.00362
1	AlaskaT	'Alaska Troll'	1991	'WACST'	12444	0.05368
1	AlaskaT	'Alaska Troll'	1991	'CR-bright'	25211	0.10876
1	AlaskaT	'Alaska Troll'	1991	'CR-sp&su'	9211	0.03974
